"Country","Region","2011","2012","2013","2014","2015"
"Bangladesh","Asia","8","2","4","NA","3"
"Brunei","Asia","NA","NA","NA","1","NA"
"Cambodia","Asia","16","21","11","10","7"
"China","Asia","NA","1","NA","NA","1"
"East Timor","Asia","NA","NA","1","NA","NA"
"Hong Kong","Asia","NA","NA","NA","1","NA"
"India","Asia","3","7","7","8","14"
"Indonesia","Asia","4","13","23","29","29"
"Laos","Asia","NA","NA","9","2","3"
"Malaysia","Asia","2","3","5","13","22"
"Maldives","Asia","NA","NA","3","NA","NA"
"Myanmar","Asia","NA","1","9","4","18"
"Pakistan","Asia","NA","NA","NA","NA","1"
"Philippines","Asia","17","64","101","56","101"
"Singapore","Asia","4","1","7","NA","5"
"Sri Lanka","Asia","NA","3","NA","2","NA"
"Taiwan","Asia","1","NA","NA","NA","1"
"Thailand","Asia","8","28","46","15","25"
"Vietnam","Asia","7","4","12","9","11"
"Unknown","Asia","NA","NA","1","12","12"
"Angola","Africa","NA","NA","1","NA","NA"
"Ethiopia","Africa","NA","NA","1","NA","NA"
"Ghana","Africa","NA","NA","1","NA","1"
"Guinea","Africa","1","NA","NA","NA","NA"
"Unknown","Africa","NA","NA","2","1","NA"
"Brazil","Latin America","1","NA","NA","NA","NA"
"Guatemala","Latin America","NA","NA","1","NA","NA"
"Haiti","Latin America","NA","1","1","NA","NA"
"Mexico","Latin America","NA","NA","NA","1","NA"
"Australia","Oceania","NA","NA","1","NA","NA"
"Solomon Island","Oceania","NA","NA","1","NA","NA"
"France","Europe","NA","NA","1","NA","NA"
"Unkown","NA","NA","NA","1","NA","NA"
